FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020)
01000,Alabama,7.3,6.7,6.1,5.9,4.5,3.9,3.2,6.5,3.4,"$53,958"
02000,Alaska,7.0,6.7,6.3,6.6,6.5,6.0,5.5,8.2,6.4,"$79,961"
04000,Arizona,7.8,6.8,6.1,5.5,5.0,4.8,4.9,7.7,4.9,"$64,652"
05000,Arkansas,7.1,5.9,5.0,4.0,3.7,3.6,3.5,6.1,4.0,"$51,146"
06000,California,9.0,7.6,6.3,5.5,4.8,4.3,4.1,10.2,7.3,"$83,001"
08000,Colorado,6.7,5.0,3.7,3.1,2.6,3.0,2.6,6.9,5.4,"$77,688"
09000,Connecticut,8.0,6.6,5.6,4.8,4.4,3.9,3.5,7.8,6.3,"$79,723"
10000,Delaware,6.6,5.6,4.8,4.5,4.5,3.8,3.7,7.6,5.3,"$71,335"
11000,District of Columbia,8.4,7.7,6.9,6.2,6.1,5.6,5.4,8.0,6.6,"$91,957"
12000,Florida,7.5,6.4,5.5,4.9,4.3,3.7,3.2,8.2,4.6,"$61,724"
13000,Georgia,8.1,7.1,6.1,5.4,4.8,4.0,3.6,6.5,3.9,"$62,800"
15000,Hawaii,4.8,4.2,3.4,2.9,2.2,2.4,2.5,12.0,5.7,"$86,878"
16000,Idaho,6.8,4.4,3.9,3.7,3.2,2.9,3.0,5.5,3.6,"$62,603"
17000,Illinois,9.1,7.2,6.0,5.9,4.9,4.4,4.0,9.2,6.1,"$71,243"
18000,Indiana,7.5,5.9,4.8,4.4,3.5,3.4,3.3,7.2,3.6,"$60,794"
19000,Iowa,4.7,4.2,3.7,3.6,3.1,2.5,2.6,5.1,4.2,"$62,362"
20000,Kansas,5.3,4.5,4.2,4.0,3.6,3.3,3.1,5.7,3.2,"$63,214"
21000,Kentucky,7.9,6.4,5.2,5.0,4.8,4.2,4.1,6.4,4.7,"$54,074"
22000,Louisiana,6.4,6.3,6.3,6.1,5.1,4.8,4.6,8.7,5.5,"$51,730"
23000,Maine,6.7,5.6,4.4,3.8,3.4,3.1,2.8,5.0,4.6,"$59,145"
24000,Maryland,6.5,5.7,5.0,4.3,4.0,3.6,3.4,6.7,5.8,"$88,589"
25000,Massachusetts,6.6,5.7,4.8,4.0,3.8,3.4,3.1,9.4,5.7,"$87,288"
26000,Michigan,8.7,7.2,5.4,5.0,4.6,4.2,4.1,10.0,5.9,"$61,352"
27000,Minnesota,5.0,4.3,3.8,3.9,3.5,3.1,3.4,6.3,3.4,"$75,489"
28000,Mississippi,8.5,7.6,6.5,5.9,5.2,4.9,5.4,7.9,5.6,"$47,368"
29000,Missouri,6.8,6.2,5.1,4.5,3.7,3.2,3.1,6.1,4.4,"$58,812"
30000,Montana,5.4,4.7,4.3,4.3,4.1,3.7,3.6,5.8,3.4,"$57,730"
31000,Nebraska,3.7,3.3,3.0,3.1,3.0,2.9,3.0,4.1,2.5,"$64,735"
32000,Nevada,10.0,8.2,6.8,5.8,5.0,4.4,4.0,13.5,7.2,"$64,608"
33000,New Hampshire,5.3,4.3,3.4,2.9,2.8,2.6,2.6,6.7,3.5,"$81,415"
34000,New Jersey,8.4,6.7,5.7,4.9,4.5,4.0,3.4,9.5,6.3,"$87,095"
35000,New Mexico,6.9,6.6,6.6,6.7,6.1,4.9,4.9,8.1,6.8,"$52,285"
36000,New York,7.8,6.3,5.2,4.9,4.6,4.1,3.8,9.9,6.9,"$73,354"
37000,North Carolina,7.8,6.1,5.7,5.1,4.5,4.0,3.8,7.1,4.8,"$59,616"
38000,North Dakota,2.9,2.6,2.8,3.1,2.6,2.4,2.1,5.1,3.7,"$64,289"
39000,Ohio,7.5,5.8,5.0,5.0,5.0,4.5,4.2,8.2,5.1,"$60,360"
40000,Oklahoma,5.1,4.3,4.3,4.6,4.0,3.3,3.1,6.2,3.8,"$54,512"
41000,Oregon,7.8,6.7,5.5,4.7,4.1,4.0,3.7,7.6,5.2,"$67,832"
42000,Pennsylvania,7.1,5.9,5.4,5.3,5.0,4.5,4.5,9.1,6.3,"$64,898"
44000,Rhode Island,9.5,7.8,6.0,5.2,4.5,4.1,3.6,9.2,5.6,"$73,919"
45000,South Carolina,7.4,6.3,5.9,4.9,4.2,3.4,2.8,6.0,4.0,"$57,216"
46000,South Dakota,3.7,3.3,3.0,3.0,3.1,2.8,2.8,4.3,3.1,"$61,149"
47000,Tennessee,7.8,6.6,5.6,4.7,3.7,3.5,3.4,7.4,4.3,"$56,962"
48000,Texas,6.3,5.2,4.5,4.6,4.3,3.9,3.5,7.7,5.7,"$66,048"
49000,Utah,4.2,3.6,3.5,3.3,3.1,2.9,2.6,4.7,2.7,"$77,785"
50000,Vermont,4.4,4.0,3.5,3.1,3.0,2.6,2.3,5.6,3.4,"$67,717"
51000,Virginia,5.6,5.1,4.4,4.0,3.7,3.0,2.8,6.2,3.9,"$79,154"
53000,Washington,6.6,5.9,5.4,5.2,4.6,4.4,4.3,8.5,5.2,"$80,319"
54000,West Virginia,6.7,6.5,6.6,6.1,5.2,5.2,4.9,8.2,5.0,"$49,202"
55000,Wisconsin,6.7,5.3,4.4,3.9,3.3,3.0,3.2,6.3,3.8,"$64,901"
56000,Wyoming,4.8,4.3,4.2,5.4,4.3,4.1,3.7,5.8,4.5,"$67,284"
72000,Puerto Rico,14.3,13.9,12.0,11.8,10.8,9.2,8.3,,7.9,